domain,category,credibility_score,sources,iffy_factual,iffy_bias,iffy_score,tranco_rank,domain_age_years,domain_registered,factcheck_claims,safe_browsing_flagged,score_cat,score_iffy,score_tranco,score_age,score_factcheck,score_safebrowsing
sandovalnews.com,unreliable,0.09,1,,FN,0.1,,6.5,2019-09-04T20:54:35Z,0,,0.1,0.1,0.1,0.1,0.1,0.1
sanevax.org,unreliable,0.09,1,L,CP,0.1,,15.6,2010-07-15T22:36:55.303Z,,,0.1,0.1,0.1,0.1,0.1,0.1
sanfransun.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:47Z,,,0.1,0.2,0.1,0.1,0.1,0.1
sangamonsun.com,unreliable,0.105,1,M,FN,0.2,,10.1,2016-01-22T15:19:46Z,,,0.1,0.2,0.1,0.1,0.1,0.1
sanjoaquintimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:47Z,,,0.1,0.2,0.1,0.1,0.1,0.1
sanjosestandard.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:39Z,,,0.1,0.2,0.1,0.1,0.1,0.1
sanluispotosipost.com,unreliable,0.105,1,M,FN,0.2,,5.4,2020-10-08T21:27:38Z,,,0.1,0.2,0.1,0.1,0.1,0.1
sanmateosun.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:48Z,,,0.1,0.2,0.1,0.1,0.1,0.1
sanmiguelpost.com,unreliable,0.105,1,M,FN,0.2,,8.1,2018-01-30T16:16:50Z,,,0.1,0.2,0.1,0.1,0.1,0.1
santaclaratoday.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:21Z,,,0.1,0.2,0.1,0.1,0.1,0.1
santacruzstandard.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:49Z,,,0.1,0.2,0.1,0.1,0.1,0.1
santafestandard.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:47Z,,,0.1,0.2,0.1,0.1,0.1,0.1
